Unix Timestamp,Date,Time,Distance (cm),Confidence (%),Yaw (deg),Latitude,Longitude
1705364391001,01/16/24,0:19:51,5833,100,249.86,19.6404282,-156.0118946
1705364391578,01/16/24,0:19:51,5845,100,249.35,19.6404267,-156.011902
1705364392180,01/16/24,0:19:52,5857,100,246.75,19.6404262,-156.0119055
1705364392792,01/16/24,0:19:52,5865,100,245.6,19.6404248,-156.0119132
1705364393396,01/16/24,0:19:53,5876,100,245.85,19.6404238,-156.0119205
1705364394025,01/16/24,0:19:54,5881,100,246.32,19.6404214,-156.0119285
1705364394595,01/16/24,0:19:54,5883,100,245.7,19.6404196,-156.0119358
1705364395338,01/16/24,0:19:55,5883,100,243.81,19.6404174,-156.0119432
1705364395908,01/16/24,0:19:55,5891,100,245.75,19.6404153,-156.0119501
1705364396491,01/16/24,0:19:56,5889,100,246.1,19.6404134,-156.0119541
1705364397073,01/16/24,0:19:57,5894,100,244.9,19.6404109,-156.0119622
1705364397643,01/16/24,0:19:57,5898,100,244.24,19.6404088,-156.0119699
1705364398222,01/16/24,0:19:58,5902,100,245.11,19.6404073,-156.0119772
1705364398800,01/16/24,0:19:58,5902,100,246.35,19.6404061,-156.0119807
1705364399388,01/16/24,0:19:59,5905,100,248.55,19.6404048,-156.0119887
1705364399971,01/16/24,0:19:59,5909,100,246.98,19.6404031,-156.0119965
1705364400577,01/16/24,0:20:00,5919,100,246.79,19.6404016,-156.0120038
1705364401179,01/16/24,0:20:01,5940,100,244.62,19.6404008,-156.0120077
1705364401838,01/16/24,0:20:01,5945,100,246.32,19.6403988,-156.0120149
1705364402407,01/16/24,0:20:02,5949,100,245.81,19.640397,-156.0120227
1705364402992,01/16/24,0:20:02,5956,100,245.05,19.6403944,-156.012031
1705364403570,01/16/24,0:20:03,5961,100,248.96,19.6403926,-156.0120376
1705364404163,01/16/24,0:20:04,5958,100,246.3,19.6403913,-156.0120418
1705364404781,01/16/24,0:20:04,5960,100,249.12,19.640389,-156.0120498
1705364405351,01/16/24,0:20:05,5971,100,249.94,19.640387,-156.0120572
1705364405936,01/16/24,0:20:05,5981,100,250.58,19.6403858,-156.0120649
1705364406630,01/16/24,0:20:06,5990,100,252.06,19.6403845,-156.012072
1705364407212,01/16/24,0:20:07,5997,100,251.76,19.6403833,-156.0120793
1705364407823,01/16/24,0:20:07,6027,100,249.32,19.6403828,-156.0120832
1705364408389,01/16/24,0:20:08,6038,100,247.95,19.6403815,-156.0120906
1705364408953,01/16/24,0:20:08,6037,100,251.51,19.6403798,-156.0120977
1705364409567,01/16/24,0:20:09,6038,100,249.67,19.6403776,-156.0121057
1705364410147,01/16/24,0:20:10,6049,100,250.53,19.6403767,-156.0121093
1705364410721,01/16/24,0:20:10,6053,100,250.72,19.6403753,-156.0121169
1705364411308,01/16/24,0:20:11,6047,100,252.25,19.6403733,-156.0121243
1705364411877,01/16/24,0:20:11,6052,100,253.5,19.6403718,-156.0121316
1705364412444,01/16/24,0:20:12,6054,100,252.63,19.6403712,-156.0121354
1705364413008,01/16/24,0:20:13,6057,100,250.24,19.6403705,-156.0121431
1705364413579,01/16/24,0:20:13,6060,100,249.49,19.640369,-156.0121509
1705364414179,01/16/24,0:20:14,6063,100,250.4,19.6403678,-156.0121581
1705364414772,01/16/24,0:20:14,6072,100,250.1,19.6403665,-156.0121618
1705364415377,01/16/24,0:20:15,6072,100,253.01,19.6403642,-156.0121692
1705364415955,01/16/24,0:20:15,6080,100,249.24,19.6403628,-156.0121763
1705364416564,01/16/24,0:20:16,6082,100,249.61,19.6403614,-156.012183
1705364417160,01/16/24,0:20:17,6089,100,250.18,19.6403605,-156.0121869
1705364417731,01/16/24,0:20:17,6096,100,249.44,19.6403588,-156.0121941
1705364418321,01/16/24,0:20:18,6096,100,249.77,19.6403576,-156.0122022
1705364418939,01/16/24,0:20:18,6108,100,249.98,19.6403562,-156.0122099
1705364419522,01/16/24,0:20:19,6127,100,247.81,19.6403545,-156.0122173
1705364420104,01/16/24,0:20:20,6131,100,248.13,19.6403535,-156.0122206
1705364420680,01/16/24,0:20:20,6138,100,248.95,19.6403514,-156.0122272
1705364421253,01/16/24,0:20:21,6151,100,248.76,19.6403494,-156.0122348
1705364422044,01/16/24,0:20:22,6157,100,251.82,19.6403472,-156.0122424
1705364422640,01/16/24,0:20:22,6163,100,249.47,19.6403454,-156.0122506
1705364423279,01/16/24,0:20:23,6170,100,247.73,19.640344,-156.0122576
1705364423880,01/16/24,0:20:23,6171,100,248.55,19.6403428,-156.012265
1705364424478,01/16/24,0:20:24,6175,100,247.58,19.6403421,-156.0122686
1705364425174,01/16/24,0:20:25,6178,100,246.74,19.6403402,-156.0122762
1705364425818,01/16/24,0:20:25,6179,100,246.02,19.6403383,-156.0122839
1705364426442,01/16/24,0:20:26,6190,100,246.55,19.6403372,-156.0122907
1705364427011,01/16/24,0:20:27,6195,100,248.12,19.6403347,-156.0122976
1705364427590,01/16/24,0:20:27,6201,100,247.26,19.6403333,-156.0123054
1705364428204,01/16/24,0:20:28,6212,100,242.1,19.6403303,-156.0123133
1705364428799,01/16/24,0:20:28,6213,100,245.98,19.6403291,-156.0123171
1705364429381,01/16/24,0:20:29,6217,100,245.81,19.6403275,-156.0123238
1705364429954,01/16/24,0:20:29,6219,100,242.63,19.6403254,-156.0123312
1705364430520,01/16/24,0:20:30,6230,100,241.92,19.640323,-156.0123394
1705364431128,01/16/24,0:20:31,6240,100,245.2,19.640322,-156.0123426
1705364431692,01/16/24,0:20:31,6246,100,246.5,19.6403193,-156.01235
1705364432301,01/16/24,0:20:32,6255,100,247.48,19.640318,-156.0123567
1705364432889,01/16/24,0:20:32,6267,100,247.48,19.6403158,-156.0123641
1705364433477,01/16/24,0:20:33,6272,100,248.25,19.6403146,-156.0123681
1705364434210,01/16/24,0:20:34,6277,100,249.49,19.6403117,-156.01238
1705364434797,01/16/24,0:20:34,6284,100,249.68,19.6403106,-156.0123842
1705364435380,01/16/24,0:20:35,6286,100,250.54,19.6403091,-156.0123919
1705364435947,01/16/24,0:20:35,6283,100,250.66,19.6403081,-156.0123993
1705364436525,01/16/24,0:20:36,6295,100,252.98,19.6403068,-156.0124066
1705364437127,01/16/24,0:20:37,6300,100,254.79,19.6403061,-156.0124105
1705364437703,01/16/24,0:20:37,6313,100,255.66,19.6403046,-156.0124176
1705364438343,01/16/24,0:20:38,6317,100,250.74,19.6403039,-156.0124252
1705364439013,01/16/24,0:20:39,6329,100,248.92,19.6403029,-156.0124324
1705364439593,01/16/24,0:20:39,6335,100,249.49,19.640302,-156.01244
1705364440222,01/16/24,0:20:40,6341,100,249.01,19.6403004,-156.0124484
1705364440798,01/16/24,0:20:40,6345,100,249.28,19.6402997,-156.0124524
1705364441364,01/16/24,0:20:41,6351,100,243.85,19.6402986,-156.0124601
1705364441978,01/16/24,0:20:41,6351,100,246.21,19.640296,-156.0124674
1705364442544,01/16/24,0:20:42,6350,100,248.08,19.6402935,-156.0124747
1705364443124,01/16/24,0:20:43,6363,100,247.21,19.6402927,-156.012479
1705364443703,01/16/24,0:20:43,6373,100,248.94,19.6402901,-156.0124862
1705364444367,01/16/24,0:20:44,6377,100,250.39,19.6402884,-156.0124929
